name,place_id,address,rating,user_ratings_total,price_level,latitude,longitude,area,phone,website,opening_hours,types,photos,source,international_phone,reviews_summary
Kantipur futsal and training center,ChIJT5rrL4sZ6zkR13vMKlH0d3g,"P9P2+VRW, Budhanilkantha 44600, Nepal",4.2,188,0,27.7372032,85.35207199999999,Kathmandu,985-1313355,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: Open 24 hours; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 985-1313355,"★5: The futsal is big and enough for 7A side. Really enjoyed the game there.... | ★1: This futsal was very expensive. The staff Show us bad behaviour.he used to speak rough language to u... | ★4: The futsal facility is excellent, with precise timing management and ample parking...."
Le Himalaya Futsal Wellness Center,ChIJRWII0zob6zkRwsHdpfI0cVk,"Block E, Nageshwor Tole, Arubari -Tinchuli Road, P9JC+P7V, काठमाडौँ 44600, Nepal",4.2,70,0,27.7318515,85.3706588,Kathmandu,01-4813226,,Monday: 5:00 AM – 8:00 PM; Tuesday: 5:00 AM – 8:00 PM; Wednesday: 5:00 AM – 8:00 PM; Thursday: 5:00 AM – 8:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: 5:00 AM – 8:00 PM; Sunday: 5:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4813226,"★5: 7 side futsal, newly created, fresh grass, good parking space and nice place enjoy football with you... | ★3: One of the best in Futsal in Boudha area. Where you can play 7 VS 7 team match. Plenty of parking. B... | ★4: A fun place to visit if u love football, There are matches going here from time to time. So if u lik..."
Fitness park Badminton Academy,ChIJDbTyPTsZ6zkRiIx1i5Xhbf4,"Shree Kanti Marg, Kathmandu 44600, Nepal",4.2,63,0,27.7367597,85.3252162,Kathmandu,985-1089430,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,"point_of_interest, establishment",1,Google Places API,+977 985-1089430,"★5: Best place for GYM, badminton training, pre- British army, Indian army and Singapore police training... | ★3: I took one shuttlecock cuz i thought it was free but at the end they took 600 for the shuttlecock - ... | ★5: a little hard to find the location but one of the best wood court in town, very friendly environment..."
Futsal Arena Boudha,ChIJ0blB5NAb6zkRNR4ZaqouloE,"Town Planning, Kathmandu 44621, Nepal",4.1,345,0,27.7158503,85.3620883,Kathmandu,980-1070700,http://www.facebook.com/nepalfutsal,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 980-1070700,★5: Broad in area with good parking space. It is bigger in size than other futsal that are usually opene... | ★5: A big arena suitable for 7A side which can be converted into two 5A side futsal. Wonderful place for... | ★5: Easily the best Futsal I've played in. 7a side with quality turf installed. The rubbers on the turf ...
Dhanyentari Futsal,ChIJe3LCQm4Z6zkRwnGi572K9dQ,"Dhanawantari Marg, Kathmandu 44600, Nepal",4.1,1158,0,27.7198624,85.34077429999999,Kathmandu,01-4009635,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4009635,"★3: There are two small futsal grounds. To be honest both the grounds feel quite small however the turf ... | ★5: Nice place with Futsal, Restaurant and Swimming pool all within it. Food quality in restaurant is go... | ★5: The ground here is a little bit worn-out but the place to play is incredibly good and the location o..."
Yala Futsal & Recreational Center,ChIJdwzrKbUZ6zkRsGn3WATmnzQ,"Unnamed Road, M87P+5VQ, महालक्ष्मी 44700, Nepal",4.1,194,0,27.6629566,85.337272,Kathmandu,01-5200389,,Monday: 7:00 AM – 9:00 PM; Tuesday: 7:00 AM – 9:00 PM; Wednesday: 7:00 AM – 9:00 PM; Thursday: 7:00 AM – 9:00 PM; Friday: 7:00 AM – 9:00 PM; Saturday: 7:00 AM – 9:00 PM; Sunday: 7:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5200389,★5: yala futsal is best futsal in allover lalitpur... | ★4: One of the great futsal I've visited till now. The ground is made up of mat (not grass) which makes ... | ★4: The floor is one of a kind as we see in the movies. They use other types of carpets rather than typi...
Ballpark Sports Events & Academy,ChIJl-cxeaUZ6zkRPwgVRVg-3p4,"Imadol, Mahalaxmi 44700, Nepal",4.1,272,0,27.6618713,85.3373225,Kathmandu,01-5203767,http://www.ballparknepal.com/,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5203767,"★4: Good place to play both Futsal & Cricsal.... | ★4: They had plenty of space for futsal and they were pretty strict on time which was understandable and... | ★3: A rather economical pricing for the indoor cricket. But the turf is really disappointing, it's just ..."
Mamba sports centre,ChIJRwkebIQZ6zkR4zCAPwGVdBQ,"Buddhanagar, Kathmandu 40046, Nepal",4.1,109,0,27.6865993,85.3320054,Kathmandu,981-3591802,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"bar, point_of_interest, establishment",1,Google Places API,+977 981-3591802,"★3: The court is good but price is little bit higher and they should provide water also!!... | ★2: Nobody is at the counter. Bill Payment is difficult , too hot , and scheduling of booking is also ve... | ★5: This indoor basketball court(half court) is a fantastic  games with friends. The court's dimensions ..."
United Futsal,ChIJf99BK2MY6zkRnW4sFsdxmio,"Bijaya Marg, Kathmandu 44600, Nepal",4.0,348,0,27.7009103,85.28282569999999,Kathmandu,01-5237599,https://www.facebook.com/United-Futsal-Nepal-1492514171008101/,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5237599,"★2: Carpet is outdated tesaile ekdum slippery xa Be careful because I got injured in my first visit ❌
Ch... | ★4: Best futsal I have ever visited in Bafal Area... | ★4: Carpet of futsal is quite better than other futsal and has a very big parking area for our vehicles...."
Grande Sports Center,ChIJKSNjZMse6zkRNS32vclcUuo,"Tokha Rd, Kathmandu 44600, Nepal",4.0,341,0,27.7545962,85.3295213,Kathmandu,01-5159290,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5159290,"★5: Grande Futsal is a fantastic facility! The courts are well-maintained, the staff is friendly, and th... | ★5: It's really nice place along with good atmosphere and sorrounding..... | ★2: Among the worst futsal arenas I've played in. Maintenance needs to be done in every part. They need ..."
Bhaktapur Futsal,ChIJV8cJvJsa6zkR0RZb5pfRzrg,"MC96+P25, Araniko Highway, Suryabinayak 44800, Nepal",4.0,149,0,27.6691169,85.41002069999999,Kathmandu,01-6610404,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-6610404,★4: The futsal is great and  it is timely maintained. Only thing that i didn't like was the ball get stu... | ★4: Been playing there for years now. Everything feels good so far. If you live nearby or happen to come... | ★5: Bhaktapur Futsal sets a high standard when it comes to providing a top-notch experience for futsal e...
Rave Futsal Center,ChIJk951UwAZ6zkRwOc9ONcEPW8,"P8PX+6W5, Mandikhata Rd, Budhanilkantha 44600, Nepal",4.0,1,0,27.7355145,85.3498467,Kathmandu,01-4374343,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4374343,★4: Playing every week for some months now. The ground is good and service is consistent so far. The was...
Futsal Park,ChIJFV3ecZkY6zkRMvAMcEr8f5E,"P7FH+2QJ, Nagarjun 44600, Nepal",4.0,126,0,27.7225717,85.2793734,Kathmandu,986-0700348,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 986-0700348,★5: One of the best Fustal of our town... | ★5: Youth friendly environment with all kind of activities... | ★4: 👍...
Balchhi Dhurbe Futsal,ChIJg_lqOL8Z6zkRcKwe4bWAqq8,"P7MQ+FXH, Kathmandu 44600, Nepal",4.0,197,0,27.7336778,85.2899699,Kathmandu,01-5139293,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5139293,"★4: Balchhi Dhurbe Futsal is named by a famous artist, comedian and musician Mr. Marichman Shrestha. Thi... | ★5: Wow, Very nice place , I like it..... | ★5: It's nice place to play football 😀😀😀😀😀😀😀😀..."
Mates Futsal,ChIJ7xcPkmEY6zkRDA2q23i2m5c,"Tahachal, Kathmandu 44600, Nepal",4.0,164,0,27.7027271,85.2885458,Kathmandu,01-5237714,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5237714,"★4: Rating the futsal with a solid four star for it's excellent facilities and vibrant atmosphere.
Frien... | ★5: Ground has new carpet , Spacious parking space , Canteen availability, booking and scheduling for ga... | ★5: Mates futsal so exciting ground is game pay so enjoy..."
X - Cel Recreation Center (Futsal),ChIJDXpXlxQZ6zkRWlIklq5dWhw,"P8FM+F33, Namuna Galli, Kathmandu 44600, Nepal",4.0,22,0,27.7236296,85.33267769999999,Kathmandu,984-1311864,,Monday: 7:00 AM – 9:30 PM; Tuesday: 7:00 AM – 9:30 PM; Wednesday: 7:00 AM – 9:30 PM; Thursday: 7:00 AM – 9:30 PM; Friday: 7:00 AM – 9:30 PM; Saturday: 7:00 AM – 9:30 PM; Sunday: 7:00 AM – 9:30 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1311864,★4: This is one of the nicely maintained futsal court I have been to. The futsal carpet is of best quali... | ★3: Not bad- could use turf-resurfacing and maybe bit more light around corners.... | ★4: The staffs are friendly as in they play with us when we have less peeps. They really need to invest ...
Shrestha Swimming Pool and Futsal,ChIJo5uQh_0b6zkRBvV0nEOf6PE,"Budhanilkantha 44600, Nepal",4.0,320,0,27.745134,85.3550231,Kathmandu,01-4164365,,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: 7:00 AM – 7:00 PM; Sunday: 7:00 AM – 7:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4164365,"★5: It is no 1 swimming pool and futsal and gym in Baluwakhani kapan area
summer days it is always packe... | ★4: The pool is nice and the price is reasonable. However , the changing room is suffocating and bad. If... | ★2: having life guards is use less because i was drowing and the uncles  had to save me i suggest not to..."
Hamro Futsal Saraswotinagar Chabahil,ChIJRzlbdmEZ6zkRKiAvdg_r-l0,"P8FX+666, Gopikrishna-Bhatkekopul Rd, Kathmandu 44600, Nepal",4.0,40,0,27.7229752,85.3480218,Kathmandu,01-4822000,,,"point_of_interest, establishment",1,Google Places API,+977 1-4822000,"★4: Average turf. It's good-sized futsal, but the vibe isn't much sporty-like.... | ★4: Cost effective but little small ground... | ★5: Experience was good. Specially, it has a perfect ground. I recommend using this futsal.
Caution: Don..."
Deependra International Sports Complex,ChIJIcHby9gZ6zkRvQ4iCvl25Jc,"Lalitpur 44700, Nepal",4.0,489,0,27.6614673,85.32945219999999,Kathmandu,01-5915890,,"Monday: 10:00 AM – 12:00 PM, 1:00 – 3:00 PM, 4:00 – 7:00 PM; Tuesday: 10:00 AM – 12:00 PM, 1:00 – 3:00 PM, 4:00 – 7:00 PM; Wednesday: 10:00 AM – 12:00 PM, 1:00 – 3:00 PM, 4:00 – 7:00 PM; Thursday: 10:00 AM – 12:00 PM, 1:00 – 3:00 PM, 4:00 – 7:00 PM; Friday: 10:00 AM – 12:00 PM, 1:00 – 3:00 PM, 4:00 – 7:00 PM; Saturday: 10:00 AM – 12:00 PM, 1:00 – 3:00 PM, 4:00 – 7:00 PM; Sunday: 10:00 AM – 12:00 PM, 1:00 – 3:00 PM, 4:00 – 7:00 PM","point_of_interest, establishment",1,Google Places API,+977 1-5915890,"★4: They have converted the clay courts to outdoor hard surface. This is a nice place to get some tennis... | ★5: It's a biggest sports stadium For football and others in Nepal.
It includes many Halls and stadium .... | ★5: This international Sports stadium is very much cozy and well location. Every  one very easy to rich ..."
National Sports Council - NSC,ChIJcwUGDK0Z6zkRZaKT7bAQMhk,"M8W8+48X, Kathmandu 44600, Nepal",4.0,92,0,27.6953105,85.31588099999999,Kathmandu,01-4261873,https://nsc.gov.np/,,"point_of_interest, establishment",1,Google Places API,+977 1-4261873,"★5: The National Sports Council (NSC) is the pulsating heart of Nepal’s sporting spirit! This iconic sta... | ★5: Visited the National Sports Council and was impressed by their dedication to sports and athletes in ... | ★4: The National Sports Council's purpose is to establish, expand, and promote sports in order to produc..."
Shantinagar Futsal,ChIJN0s5A48Z6zkR8gtJTwkSd80,"Kathmandu 44600, Nepal",3.9,1163,0,27.6919685,85.3478009,Kathmandu,985-1188182,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 985-1188182,"★3: It's a go to place for me on the weekends or a day before. A fun place to play my favorite game. The... | ★3: Have been playing here since I can remember playing futsal. One of the oldest futsal in the city. Pa... | ★5: Been playing here for the last 3 years and it feels like home.

One of the best Futsal in Kathmandu...."
Highway Futsal,ChIJyZPFy80b6zkR9PGP-aexlIU,"जोरपाटी -३, Gokarneshwor 44600, Nepal",3.9,257,0,27.7117505,85.3689974,Kathmandu,980-8675143,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 980-8675143,★4: Nice area and good quality ground. It would be better if it’s length was little bit longer while com... | ★5: One of the best places for a futsal player! Been over 7 years of playing here!... | ★2: The rubber grains were all over the turf and it was quite slippery to play on. The turf needs mainte...
Shankhamul Futsal,ChIJOT8thr8Z6zkRJ62l4HGknAo,"Kathmandu 44600, Nepal",3.9,755,0,27.6826021,85.3323243,Kathmandu,984-8867781,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-8867781,"★4: Good old futsal ground, might be confusing to locate specially if you are not following the directio... | ★4: It’s one of the great futsal around the sankhamul and Buddhanagar area the ground is in good conditi... | ★5: Best Fustal
Good Environment To Ply
In New Grass ❤️
Hurry up guyzz🪻..."
Field Futsal,ChIJg84tFEYY6zkRi2juiPNy_Nk,"M8P2+9WR, Sanepa Rd, Lalitpur 44700, Nepal",3.9,494,0,27.6859935,85.30227990000002,Kathmandu,01-5528361,,Monday: 7:00 AM – 9:00 PM; Tuesday: 7:00 AM – 9:00 PM; Wednesday: 7:00 AM – 9:00 PM; Thursday: 7:00 AM – 9:00 PM; Friday: 7:00 AM – 9:00 PM; Saturday: 7:00 AM – 9:00 PM; Sunday: 7:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5528361,"★4: Good pitch without much visible rubber grains and isn't slippery which is great. The price is good t... | ★4: Field Futsal in Sanepa, Lalitpur, is a premier destination for futsal enthusiasts. The facility offe... | ★5: one of the finest and well environment for football match..."
Imadol Futsal,ChIJyVXyNvwZ6zkRmEtQTNKce7E,"M87X+5FG, Mahalaxmi 44600, Nepal",3.9,381,0,27.662961,85.34860259999999,Kathmandu,984-1271350,,Monday: 5:00 AM – 8:00 PM; Tuesday: 5:00 AM – 8:00 PM; Wednesday: 5:00 AM – 8:00 PM; Thursday: 5:00 AM – 8:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: 5:00 AM – 8:00 PM; Sunday: 5:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 984-1271350,"★5: The ground is well maintained and you can get free mineral water. The best futsal, 6-A side ground... | ★5: It was great opportunity to play here.
And yes the place has been changed. They have their own cafe ... | ★5: One of the best futsal with reasonable price. You get complimentary mineral water. Attached cafe mak..."
Samakhushi Futsal,ChIJr9QqdiQZ6zkRUnIf2hxVMeg,"44600, काठमाडौँ 44600, Nepal",3.9,459,0,27.7348101,85.3205634,Kathmandu,01-4963834,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4963834,"★1: For third time they fooled us. We booked a certain time and when we reach there they tell us time sl... | ★4: Nice turf to play on
Friendly staff
A bit problematic for people to find the location of the place
D... | ★3: It's just okay. Not great, but no major complaints either. The field is a bit small compared to othe..."
Wembley Goals Futsal Arena,ChIJxbRZlRsa6zkRAKC1NKSy4yY,"M9G6+CJQ, Madhyapur Thimi 44600, Nepal",3.9,227,0,27.67608,85.3616165,Kathmandu,986-0675627,https://www.facebook.com/WembleyGoals,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 986-0675627,"★5: Fairly priced, near to the bus stop, unlimited drinking water supply, toilets, abundant parking spac... | ★3: Ground is small but its fine to play there... | ★5: Great place for Football players. I was there once to play futsal. The space is small if we compare ..."
Surya Futsal,ChIJc2fCO10Z6zkRJxIo9Xjeg4s,"P8JW+R8J, Dhumbarai Rd 4, Kathmandu 44600, Nepal",3.9,302,0,27.7314603,85.345384,Kathmandu,01-4371660,,Monday: 5:00 AM – 7:00 PM; Tuesday: 5:00 AM – 7:00 PM; Wednesday: 5:00 AM – 7:00 PM; Thursday: 5:00 AM – 7:00 PM; Friday: 5:00 AM – 7:00 PM; Saturday: 5:00 AM – 7:00 PM; Sunday: 5:00 AM – 7:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4371660,"★5: Surya Futsal in Dhumbarahi offers a solid turf experience for casual kickabouts and competitive matc... | ★4: A lovely, discreet location for a footsalle session and a real gymnasium with its own basketball cou... | ★5: One of the best futsal areas, along with platforms for a variety of games including basketball and b..."
Vajra Futsal,ChIJIV5aG_EY6zkRrudFC5JPiaU,"P872+559, Kathmandu 44600, Nepal",3.9,112,0,27.7129002,85.3004945,Kathmandu,,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,,"★3: Previously it was good for futsal but these days the ground are not well maintained.... | ★3: Good Place to have a futsal experience with friends but not good for Tournaments and matches.
1. OLD... | ★3: Toilet is not hygenic rather than that field and the facilities are great but little bit expensive t..."
G4 Futsal And Badminton Court,ChIJOWpx6tcY6zkRpMUr7YBhuxg,"Kathmandu 44600, Nepal",3.9,274,0,27.7414731,85.3128981,Kathmandu,01-4027562,https://www.facebook.com/pg/G4FUTSAL,Monday: 5:00 AM – 8:00 PM; Tuesday: 5:00 AM – 8:00 PM; Wednesday: 5:00 AM – 8:00 PM; Thursday: 5:00 AM – 8:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: 5:00 AM – 8:00 PM; Sunday: 5:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4027562,★3: It's okay futsal you can play both 7 A side or half of the ground both re available... | ★1: entitled staff lol stop asking other people to review arbitrarily and spread bullshit.  own your shi... | ★5: Great option if you want 7-a-side futsal....
Prime Futsal Gyaneshwor,ChIJfZtFzhoZ6zkR-BfEjFPJQKg,"Jayanti Galli, Kathmandu 44600, Nepal",3.9,202,0,27.7103515,85.3347196,Kathmandu,986-0306492,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 986-0306492,"★3: Slightly small than other futsal. Also little expensive. Going on four wheeler might be challenging.... | ★4: The ground is huge as compared to others.
You can get jersey, futsal boots, half pants there.
Just t... | ★3: Slippery ground due to old ground carpeting, relatively small space for parking. No provision for 2 ..."
Premier Futsal,ChIJ9TKO8ysZ6zkR3bLcOcLUFE4,"Baniyatar Rd 11, Tokha 44600, Nepal",3.9,166,0,27.7470465,85.32046539999999,Kathmandu,01-4965122,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-4965122,"★5: Top futsal in Kathmandu. Friendly environment,  parking space, reliable price, high quality ground w... | ★5: Nice futsal good quality and location.... | ★5: Well maintained ground 😀..."
Champions Futsal,ChIJVyvy9V4X6zkRfWb4wGLt7Sc,"M84P+2QF, Mahalaxmi 44700, Nepal",3.9,218,0,27.6551165,85.336845,Kathmandu,01-5203998,https://m.facebook.com/championsfutsal2014/,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: 6:00 AM – 9:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5203998,★4: All Satisfied but they only provide 2 bottle 🍾 of water 💦. 10 players with 2 bottle is not enough fo... | ★5: Good environment and awesome place for futsal.... | ★5: A very nice futsal with coorperative staff. Even has a shop insisd it...
Kirtipur Futsal,ChIJfz5v0wkY6zkRq0MgJdUIbwI,"M7CC+JX8, Kirtipur 44618, Nepal",3.9,228,0,27.6715435,85.27243759999999,Kathmandu,981-8149835,,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 6:00 AM – 9:00 PM; Sunday: Open 24 hours,"point_of_interest, establishment",1,Google Places API,+977 981-8149835,"★3: It used to be a nice futsal. But now, the turf is too old. They should replace it with the new one. ... | ★4: 4 starrs for good service wide field and easy location, but seems like carpet is too old (doesn't ef... | ★4: Reasonable price . The bar needs to be fixed as shown in the picture but overall it's good.
RECOMMEN..."
Manang Marshyangdi Futsal,ChIJoTbVwSAZ6zkR9tQo9KxGuZA,"P8M7+5V8, Kathmandu 44600, Nepal",3.9,239,0,27.7329242,85.3146976,Kathmandu,01-6200126,,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-6200126,★5: Great basketball indoor ground. Plus they provide 2 free waters every game. And the price is so reas... | ★4: Good place for sports activities be it futsal or basketball. The turf is also soft compare to some o... | ★5: Big ground enough for 6 a side and the grass is new too. Half court basketball is good. Plenty of pa...
Kumari Futsal and snooker,ChIJlyuofvsY6zkRD1nsPoFfOlM,"43/33, पकनाजोल मार्ग, काठमाडौँ 44600, Nepal",3.9,568,0,27.7139294,85.3081272,Kathmandu,01-5343709,https://www.facebook.com/KumariFutsal/,Monday: 6:00 AM – 10:00 PM; Tuesday: 6:00 AM – 10:00 PM; Wednesday: 6:00 AM – 10:00 PM; Thursday: 6:00 AM – 10:00 PM; Friday: 6:00 AM – 10:00 PM; Saturday: 6:00 AM – 10:00 PM; Sunday: 6:00 AM – 10:00 PM,"point_of_interest, establishment",1,Google Places API,+977 1-5343709,"★5: Have been regular, one of the best places to spend your energy. The staff are friendly and helpful. ... | ★3: Consists of two futsal grounds. The ground B is smaller than ground A. The price of this futsal is c... | ★4: It is more expensive compared but you'll feel the worth for your pay comparing  their services, main..."
